Latitude: 47.2221340, Longitude: 11.4246956, Information Type: guidepost, Reference: N/A
Latitude: 47.2211817, Longitude: 11.4233398, Information Type: guidepost, Reference: N/A
Latitude: 47.2177464, Longitude: 11.4208138, Information Type: guidepost, Reference: N/A
Latitude: 47.2186153, Longitude: 11.4202425, Information Type: guidepost, Reference: N/A
Latitude: 47.2196820, Longitude: 11.4145938, Information Type: guidepost, Reference: N/A
Latitude: 47.2468060, Longitude: 11.3930073, Information Type: guidepost, Reference: N/A
Latitude: 47.2466312, Longitude: 11.3930355, Information Type: guidepost, Reference: N/A
Latitude: 47.2455324, Longitude: 11.3918513, Information Type: guidepost, Reference: N/A
Latitude: 47.2484757, Longitude: 11.3840072, Information Type: guidepost, Reference: N/A
Latitude: 47.2918020, Longitude: 11.4361111, Information Type: guidepost, Reference: N/A
Latitude: 47.2927198, Longitude: 11.4315852, Information Type: guidepost, Reference: N/A
Latitude: 47.2196856, Longitude: 11.3978031, Information Type: guidepost, Reference: N/A
Latitude: 47.2506226, Longitude: 11.4223460, Information Type: guidepost, Reference: N/A
Latitude: 47.2501113, Longitude: 11.4193339, Information Type: guidepost, Reference: N/A
Latitude: 47.2916419, Longitude: 11.3763843, Information Type: guidepost, Reference: N/A
Latitude: 47.2960406, Longitude: 11.3734178, Information Type: guidepost, Reference: N/A
Latitude: 47.2949896, Longitude: 11.3863836, Information Type: guidepost, Reference: N/A
Latitude: 47.2890967, Longitude: 11.3855072, Information Type: guidepost, Reference: N/A
Latitude: 47.2461565, Longitude: 11.4032766, Information Type: guidepost, Reference: N/A
Latitude: 47.2447642, Longitude: 11.3971893, Information Type: guidepost, Reference: N/A
Latitude: 47.2931664, Longitude: 11.3924501, Information Type: guidepost, Reference: N/A
Latitude: 47.2933669, Longitude: 11.3923113, Information Type: guidepost, Reference: N/A
Latitude: 47.2929972, Longitude: 11.3916743, Information Type: guidepost, Reference: N/A
Latitude: 47.2924862, Longitude: 11.3894286, Information Type: guidepost, Reference: N/A
Latitude: 47.2461976, Longitude: 11.4070467, Information Type: guidepost, Reference: N/A
Latitude: 47.2466480, Longitude: 11.4059478, Information Type: guidepost, Reference: N/A
Latitude: 47.2439629, Longitude: 11.3981250, Information Type: guidepost, Reference: N/A
Latitude: 47.2436672, Longitude: 11.3986370, Information Type: guidepost, Reference: N/A
Latitude: 47.2457150, Longitude: 11.4034549, Information Type: guidepost, Reference: N/A
Latitude: 47.2447797, Longitude: 11.4025580, Information Type: guidepost, Reference: N/A
Latitude: 47.2947632, Longitude: 11.3911083, Information Type: guidepost, Reference: N/A
Latitude: 47.2888893, Longitude: 11.3618240, Information Type: guidepost, Reference: N/A
Latitude: 47.2864440, Longitude: 11.3101171, Information Type: guidepost, Reference: N/A
Latitude: 47.2763393, Longitude: 11.3470517, Information Type: guidepost, Reference: N/A
Latitude: 47.2803332, Longitude: 11.3694156, Information Type: guidepost, Reference: N/A
Latitude: 47.2920248, Longitude: 11.3881385, Information Type: guidepost, Reference: N/A
Latitude: 47.2473443, Longitude: 11.3973750, Information Type: guidepost, Reference: N/A
Latitude: 47.2471957, Longitude: 11.3956332, Information Type: guidepost, Reference: N/A
Latitude: 47.2467874, Longitude: 11.3941295, Information Type: guidepost, Reference: N/A
Latitude: 47.2896184, Longitude: 11.4259073, Information Type: guidepost, Reference: N/A
Latitude: 47.2477091, Longitude: 11.3963158, Information Type: guidepost, Reference: N/A
Latitude: 47.2454915, Longitude: 11.3990451, Information Type: guidepost, Reference: N/A
Latitude: 47.2880569, Longitude: 11.4094365, Information Type: guidepost, Reference: N/A
Latitude: 47.2818891, Longitude: 11.4000900, Information Type: guidepost, Reference: N/A
Latitude: 47.2849384, Longitude: 11.4001668, Information Type: guidepost, Reference: N/A
Latitude: 47.2489818, Longitude: 11.4015797, Information Type: guidepost, Reference: N/A
Latitude: 47.2527048, Longitude: 11.3996747, Information Type: guidepost, Reference: N/A
Latitude: 47.2848877, Longitude: 11.3969810, Information Type: guidepost, Reference: N/A
Latitude: 47.2824516, Longitude: 11.4035270, Information Type: guidepost, Reference: N/A
Latitude: 47.2823815, Longitude: 11.4048416, Information Type: guidepost, Reference: N/A
Latitude: 47.2903884, Longitude: 11.3949278, Information Type: guidepost, Reference: N/A
Latitude: 47.3013758, Longitude: 11.3844370, Information Type: guidepost, Reference: N/A
Latitude: 47.3015856, Longitude: 11.3840055, Information Type: guidepost, Reference: N/A
Latitude: 47.2802840, Longitude: 11.3895359, Information Type: guidepost, Reference: N/A
Latitude: 47.2793342, Longitude: 11.3099642, Information Type: guidepost, Reference: N/A
Latitude: 47.2686106, Longitude: 11.4473263, Information Type: guidepost, Reference: N/A
Latitude: 47.2684290, Longitude: 11.4476494, Information Type: guidepost, Reference: N/A
Latitude: 47.2914097, Longitude: 11.4219899, Information Type: guidepost, Reference: N/A
Latitude: 47.2857363, Longitude: 11.4101688, Information Type: guidepost, Reference: N/A
Latitude: 47.2962357, Longitude: 11.4140023, Information Type: guidepost, Reference: N/A
Latitude: 47.2883539, Longitude: 11.4205798, Information Type: guidepost, Reference: N/A
Latitude: 47.2832922, Longitude: 11.4170594, Information Type: guidepost, Reference: N/A
Latitude: 47.2846216, Longitude: 11.4164354, Information Type: guidepost, Reference: N/A
Latitude: 47.2814312, Longitude: 11.4326234, Information Type: guidepost, Reference: N/A
Latitude: 47.2825466, Longitude: 11.3680420, Information Type: guidepost, Reference: N/A
Latitude: 47.2815460, Longitude: 11.3986744, Information Type: guidepost, Reference: N/A
Latitude: 47.2784948, Longitude: 11.3710742, Information Type: guidepost, Reference: N/A
Latitude: 47.2901375, Longitude: 11.4125925, Information Type: guidepost, Reference: N/A
Latitude: 47.2964677, Longitude: 11.3907094, Information Type: guidepost, Reference: N/A
